date dx dy dz
201129 0000 0.002 -0.030 -0.006
201130 0000 0.003 -0.029 -0.003
201201 0000 0.003 -0.031 -0.003
201202 0000 0.003 -0.032 0.001
201203 0000 0.003 -0.029 -0.001
201204 0000 0.003 -0.030 -0.000
201205 0000 0.003 -0.029 -0.000
201206 0000 0.002 -0.029 -0.000
201208 0000 0.002 -0.028 -0.001
201209 0000 0.003 -0.029 -0.003
201210 0000 0.003 -0.026 -0.003
201212 0000 0.003 -0.026 -0.005
201213 0000 0.002 -0.027 -0.004
201214 0000 0.002 -0.028 -0.006
201215 0000 0.001 -0.027 -0.006
201216 0000 0.001 -0.030 -0.006
201217 0000 0.002 -0.028 -0.006
201218 0000 0.001 -0.030 -0.004
201230 1613 0.012 -0.011 -0.008
201230 1614 0.012 -0.011 -0.006
201230 1616 0.011 -0.011 -0.002
201231 0000 0.001 -0.024 -0.002
210101 0000 0.001 -0.024 -0.008
210102 0000 0.001 -0.025 -0.004
210103 0000 0.001 -0.024 -0.001
210104 0000 0.001 -0.024 -0.002
210105 0000 0.001 -0.024 -0.008
210112 0000 -0.002 -0.020 -0.004
210113 0000 -0.000 -0.025 -0.006
210114 0000 -0.001 -0.023 -0.003
210115 0000 -0.002 -0.019 0.001
210116 0000 -0.002 -0.019 -0.004
210117 0000 -0.001 -0.019 -0.005
210118 0000 0.000 -0.023 -0.004
210119 0000 0.001 -0.023 -0.007
210120 0000 -0.001 -0.019 -0.006
210121 0000 0.001 -0.024 -0.006
210122 0000 0.001 -0.024 -0.006
210123 0000 0.000 -0.024 -0.004
210124 0000 0.000 -0.024 -0.005
210125 0000 0.000 -0.024 -0.005
210126 0000 0.001 -0.024 -0.006
210127 0000 0.000 -0.024 -0.005
210128 0000 0.000 -0.024 -0.005
210129 0000 0.001 -0.024 -0.006
210130 0000 0.000 -0.023 -0.005
210131 0000 0.000 -0.023 -0.006
210201 0000 -0.000 -0.023 -0.002
210202 0000 0.000 -0.023 -0.006
210203 0000 0.000 -0.023 -0.006
210204 0000 0.000 -0.024 -0.005
210205 0000 0.000 -0.024 -0.005
210206 0000 -0.001 -0.019 -0.005
210207 0000 0.000 -0.023 -0.006
210208 0000 -0.002 -0.019 -0.002
210209 0000 0.001 -0.024 -0.006
210301 1538 0.004 -0.017 -0.002
